V1,V2,V3,V4,V5,id
NDF,US,other,FR,IT,wvkrmcxjna
NDF,US,other,FR,IT,bscxx3puli
US,NDF,other,FR,IT,ukubebj02j
NDF,US,other,FR,IT,th6y78zk4q
NDF,US,other,FR,IT,0hson9d0e0
NDF,US,other,FR,IT,t1penxipz9
NDF,US,other,FR,GB,qm8p85kg9a
NDF,US,other,FR,IT,v8ibtnvpr4
NDF,US,other,IT,FR,le73ew175t
US,NDF,other,FR,IT,h8csbbeo3y
NDF,US,other,ES,FR,cqikhghdm0
US,NDF,other,FR,IT,hz5mimz66g
US,NDF,other,FR,IT,73nkm3dfi2
NDF,US,other,FR,IT,7btp5wvu4v
US,NDF,other,FR,IT,76tedfnr8i
US,NDF,other,FR,IT,nxcfjtlvdk
NDF,US,other,FR,IT,orggm6wtov
NDF,US,other,FR,IT,scojulukfu
NDF,US,other,FR,IT,s5bipiwowr
US,NDF,other,FR,IT,kbtgm5pzco
NDF,US,other,FR,IT,bpqxef1vp5
NDF,US,other,FR,IT,kqma5e77n1
NDF,US,other,FR,IT,9gg3dxnohe
NDF,US,other,FR,IT,b0w40kjpkt
US,NDF,other,FR,IT,w1v435riqc
NDF,US,other,FR,IT,3uo4f5g99k
NDF,US,other,FR,IT,jcvpp2voxq
NDF,US,other,FR,IT,dn3lxsnkh9
NDF,US,other,FR,ES,qm7a2ypxk6
NDF,US,other,GB,FR,dg92uu1yci
NDF,US,other,FR,IT,wlmv17foov
NDF,US,other,FR,IT,3pq64r7ph6
NDF,US,other,IT,FR,95i97gcf4n
US,NDF,other,FR,GB,2seq9kopv3
US,NDF,other,FR,IT,low7m67hm4
NDF,US,other,FR,IT,ig5d8qosey
NDF,US,other,FR,IT,sg6tpb4g1f
NDF,US,other,FR,IT,2a18gv8mh0
NDF,US,other,FR,IT,tx6ub05drw
NDF,US,other,FR,IT,krras8ueqd
NDF,US,other,IT,FR,46vmfznjp6
US,NDF,other,CA,FR,hwczgyd6f3
NDF,US,other,FR,IT,o4ibwuiav6
NDF,US,other,FR,IT,8mekk69xmu
NDF,US,other,FR,IT,cx1vsjz7vn
NDF,US,other,FR,IT,2kip2hxh1a
NDF,US,other,FR,IT,zyql94l5bn
NDF,US,other,FR,IT,4y6wgw8jxy
US,NDF,other,FR,IT,e7cdcpss9w
US,NDF,other,FR,IT,yhthzkq8lw
NDF,US,other,FR,IT,6w5js8fj5a
NDF,US,other,FR,IT,gg50sg25wm
NDF,US,other,ES,IT,xd1ii36ns5
US,NDF,other,FR,GB,mxq55lwsvr
NDF,US,other,FR,IT,0s26z3sat5
NDF,US,other,FR,IT,fvngzuga8j
NDF,US,other,FR,IT,nomt5bak3i
US,NDF,other,FR,IT,a6z7dm6b43
NDF,US,other,FR,IT,ibyj32ijmm
NDF,US,other,FR,IT,qy2zpmgddc
NDF,US,other,FR,IT,s62adskt4b
NDF,US,other,FR,IT,g0gqi2vv1e
US,NDF,other,FR,IT,k2cqb4k5hb
NDF,US,other,FR,IT,s8i5mlcbso
NDF,US,other,FR,IT,mqysigtly4
NDF,US,other,ES,FR,iippbo0qyq
NDF,US,other,FR,IT,ttrquqdgxz
NDF,US,other,FR,IT,dvuz1onhmp
NDF,US,other,FR,IT,41gng57htb
US,NDF,other,FR,IT,53k5kd9ozc
US,NDF,other,FR,IT,t9yt9ld19z
NDF,US,other,FR,IT,kw5uoa4sgt
NDF,US,other,FR,IT,fnrzjlaiwd
NDF,US,other,FR,IT,lmpadt6m85
NDF,US,other,FR,IT,evv8vl3iix
NDF,US,other,FR,IT,j3supp5l5n
NDF,US,other,FR,IT,nkue5m2dvx
US,NDF,other,FR,IT,830xvv63jb
NDF,US,other,FR,IT,5rvwvv8h6x
NDF,US,other,FR,GB,f4lb6egqa8
NDF,US,other,FR,IT,8wuvktydfi
NDF,US,other,FR,GB,x7wrpolbow
NDF,US,other,FR,IT,lo4d1eglzk
NDF,US,other,FR,IT,8c0wwqjafj
NDF,US,other,CA,FR,zl0doxw137
US,NDF,other,FR,IT,6unvvxbio9
NDF,US,other,FR,GB,93y7lovz23
NDF,US,other,FR,IT,7bt6wau8ri
NDF,US,other,FR,IT,1nig9awllr
US,NDF,other,FR,IT,6pfqalb7ci
NDF,US,other,FR,IT,tg0skjpydn
NDF,US,other,FR,IT,rfqyed8noo
US,NDF,other,FR,IT,mgmuc5g093
US,NDF,other,FR,IT,n9swappq66
NDF,US,other,FR,IT,d4esdt2s0i
NDF,US,other,IT,FR,i7ak58tpo7
NDF,US,other,FR,IT,7gertd0qjm
NDF,US,other,IT,FR,is8ymm1a61
NDF,US,other,FR,IT,xuq8elj2gy
US,NDF,other,FR,IT,es77rb716p
NDF,US,other,FR,IT,knhtfdsls0
NDF,US,other,FR,IT,v6vmlybxky
NDF,US,other,FR,IT,mos18he3by
NDF,US,other,FR,IT,sp3tvgel9p
NDF,US,other,FR,IT,5pzly9piy7
NDF,US,other,IT,FR,946db5bqtl
US,NDF,other,FR,GB,cyp7k0r9n2
US,NDF,other,FR,IT,4mv9b3j7fx
NDF,US,other,FR,IT,bl8sz9d653
NDF,US,other,FR,IT,otgg3z7rdp
NDF,US,other,FR,IT,wqd6cvp4cu
NDF,US,other,FR,IT,auxb3o6v78
NDF,US,other,FR,IT,klpq9clj5g
NDF,US,other,FR,IT,zkloyn8lne
NDF,US,other,IT,FR,hiupbvp0ay
NDF,US,other,FR,IT,eg4405quxg
NDF,US,other,FR,IT,zpcqdhmmc4
US,NDF,other,FR,IT,6vi9wz0x86
US,NDF,other,FR,IT,5oct9nxvop
NDF,US,other,FR,IT,1ixpfl8f83
NDF,US,other,FR,IT,v4yxqouvlo
US,NDF,other,FR,IT,ybc8wnlfcx
NDF,US,other,IT,FR,1rkb7fgz4x
US,NDF,other,FR,IT,cnybo1tie4
NDF,US,other,FR,IT,d27h1bw3kx
NDF,US,other,IT,CA,fdkbge637i
NDF,US,other,FR,IT,gh6mac8ujz
US,NDF,other,FR,IT,h69u5wqzlh
NDF,US,other,IT,FR,72me74hq20
NDF,US,other,FR,IT,abbhgh7ghb
US,NDF,other,FR,IT,pqggxe4l5a
NDF,US,other,FR,IT,3zlnwg3pxr
NDF,US,other,FR,IT,3nw4ytjmi6
NDF,US,other,FR,IT,vzl4opbsr7
US,NDF,other,FR,IT,6ggo8gba5r
US,NDF,other,FR,IT,tuskgqcsh5
NDF,US,other,FR,CA,p00rzpgs6j
NDF,US,other,FR,IT,71sndzjzmd
US,NDF,other,FR,IT,iaipju0fgy
US,NDF,other,FR,IT,87v8p2ccn9
NDF,US,other,FR,IT,20tozj8ssr
NDF,US,other,FR,IT,evucqjckmu
US,NDF,other,FR,IT,0hdd8uudhx
NDF,US,other,FR,IT,ji1ltxpjdn
NDF,US,other,FR,IT,0ubtvn3nrq
NDF,US,other,FR,IT,s30o3t9htc
NDF,US,other,FR,IT,3xcp7f3m8o
NDF,US,other,FR,IT,xy4xv9uqmu
NDF,US,other,FR,IT,h7i6f2vywl
NDF,US,other,FR,IT,t0lj2k4mcy
NDF,US,other,FR,IT,9vtdcygpk6
US,NDF,other,FR,IT,xgncrwkh8e
NDF,US,other,FR,IT,r8zzrtvdaw
US,NDF,other,FR,ES,so8mep5e59
NDF,US,other,FR,IT,qut8s51p5k
NDF,US,other,FR,IT,5zzydvrt6x
US,NDF,other,FR,IT,bu5np8bxqx
NDF,US,other,IT,FR,mezvn9fr1g
NDF,US,other,FR,IT,tiyenwjmk4
NDF,US,other,FR,IT,glcz18tqs2
US,NDF,other,FR,IT,qncvchtom0
US,NDF,other,FR,IT,4j9qtd9lox
NDF,US,other,FR,IT,taxq84ok4o
NDF,US,other,FR,IT,lkzjn2epl8
US,NDF,other,FR,IT,w6qw82dcd4
NDF,US,other,IT,FR,up11emtafh
NDF,US,other,FR,IT,g9jh5xhzef
US,NDF,other,FR,IT,94r4tnuglp
NDF,US,other,FR,IT,xnj17ih33y
NDF,US,other,FR,IT,6vq4kx8ogj
NDF,US,other,FR,IT,9h1xr09c7f
NDF,US,other,FR,IT,8q3dvhoyju
US,NDF,other,FR,IT,ehroyvlmls
NDF,US,other,IT,FR,88rpufkth4
NDF,US,other,FR,IT,gxjl6zxwgh
NDF,US,other,FR,IT,um2hqlzeh8
NDF,US,other,IT,FR,0f9n7wbum8
US,NDF,other,FR,IT,bm9saf3lnj
NDF,US,other,IT,FR,uzpvzt0tvc
NDF,US,other,FR,IT,y9a9w1zdrl
NDF,US,other,FR,IT,hecqj5m4m5
NDF,US,other,FR,IT,t8ke6yshmt
NDF,US,other,FR,IT,fu4bkfziza
US,NDF,other,FR,IT,zpnebp9g7f
NDF,US,other,FR,IT,tx4y6yomm7
NDF,US,other,ES,IT,7rnn241z1d
NDF,US,other,FR,IT,i6e87aufkx
NDF,US,other,FR,IT,djrfbtw115
US,NDF,other,FR,IT,kkbvqv9s1s
NDF,US,other,FR,IT,mnmocw9lnj
NDF,US,other,FR,IT,yxcjru9dq3
NDF,US,other,FR,IT,pjhodz4zc7
NDF,US,other,FR,GB,2dkpmuht3m
NDF,US,other,FR,IT,r5hastizqz
NDF,US,other,FR,IT,ascj5x5d32
US,NDF,other,FR,IT,iljpfcy9va
US,NDF,other,FR,IT,kdgrq9e2n6
US,NDF,other,IT,FR,tlrdic9gp4
NDF,US,other,FR,IT,98mbv2q9aq
NDF,US,other,FR,IT,9v7e8kubgo
NDF,US,other,FR,IT,xrmdys5fgy
NDF,US,other,FR,IT,lx4az7t2r9
NDF,US,other,FR,IT,beme3doz4t
NDF,US,other,FR,IT,uploi1hj9s
US,NDF,other,FR,IT,5qcxy61zrr
NDF,US,other,FR,IT,cfn8nbgq31
US,NDF,other,FR,IT,wyzxz2tpsu
US,NDF,other,FR,IT,p125kmlrpx
NDF,US,other,FR,IT,xta2l7n56j
NDF,US,other,FR,IT,wvas51a9qm
NDF,US,other,FR,IT,zxnt35k6a2
NDF,US,other,FR,GB,e74odv61rx
NDF,US,other,FR,GB,x3ukc916ga
US,NDF,other,FR,IT,2li9wj6orw
NDF,US,other,IT,FR,1hsr4dp5w8
NDF,US,other,FR,IT,fo36dkl4kx
NDF,US,other,FR,IT,po02vs5hks
NDF,US,other,FR,IT,mq9nz750jz
NDF,US,other,FR,IT,kad9uyzqqx
US,NDF,other,FR,IT,msaru3a2me
NDF,US,other,FR,IT,5bb0klwahw
NDF,US,other,FR,IT,m566d0hi1x
US,NDF,other,FR,IT,zhg11r1vvq
NDF,US,other,FR,GB,2z5hptzt84
NDF,US,other,FR,IT,ebjjn7ymo2
NDF,US,other,FR,IT,y04u8muoq3
NDF,US,other,IT,FR,hupct170mc
NDF,US,other,FR,IT,dppz01r1z5
US,NDF,other,FR,IT,k450ie7kh5
NDF,US,other,IT,FR,w6iqlltpik
NDF,US,other,FR,IT,jkzzrx4es4
NDF,US,other,FR,IT,pzcev9s7wq
NDF,US,other,FR,IT,kxbwigmy1j
NDF,US,other,FR,IT,jxjk7q7z1m
US,NDF,other,FR,ES,tas0hrgqw6
NDF,US,other,FR,IT,umjjucd5dd
NDF,US,other,FR,IT,n13jlskf3m
NDF,US,other,FR,IT,g1pg3mql9b
NDF,US,other,FR,IT,d9ghmv67vi
NDF,US,other,FR,IT,9823gcnhj9
NDF,US,other,FR,IT,8vzol356g1
NDF,US,other,IT,FR,mxn8j55cz6
NDF,US,other,FR,IT,w3hna93wcx
NDF,US,other,FR,IT,r8l8r6u0zy
NDF,US,other,FR,IT,0xi4zk1oqr
US,NDF,other,FR,IT,0uaw9h9btm
NDF,US,other,FR,GB,9a7uivj1c6
US,NDF,other,FR,IT,tbnsmr9il1
US,NDF,other,FR,IT,koqjshyc48
US,NDF,other,FR,GB,o2ax5480vf
NDF,US,other,FR,IT,eowmy8ikaf
NDF,US,other,FR,IT,kr4l6891eg
NDF,US,other,IT,FR,arbadaw0mz
US,NDF,other,FR,IT,va3rxmbb27
US,NDF,other,FR,IT,ta015ccwxd
NDF,US,other,IT,FR,pgco5y1f7r
NDF,US,other,FR,IT,o2tp3qla9c
NDF,US,other,FR,IT,hwnvlouwqo
NDF,US,other,FR,IT,d8dm8o7vq1
NDF,US,other,FR,GB,8u335nkmcj
NDF,US,other,FR,IT,nvxmb4ttfq
US,NDF,other,FR,IT,h067ppdcqf
US,NDF,other,FR,IT,hztoxq15b3
NDF,US,other,IT,FR,62tsqfrwkj
NDF,US,other,FR,GB,u6sp4a08tn
NDF,US,other,FR,IT,hvwvtimk0t
US,NDF,other,FR,CA,cqbs2dwqvs
US,NDF,other,FR,IT,vzl7qea3u9
NDF,US,other,FR,IT,d2emyyli89
NDF,US,other,FR,IT,apxsui3c79
NDF,US,other,FR,IT,r5zsp818n5
NDF,US,other,IT,FR,gvht1p2tmg
NDF,US,other,FR,IT,0ysq5mcxwh
NDF,US,other,IT,FR,orsiqktei5
NDF,US,other,FR,IT,4qhenadg4m
NDF,US,other,FR,IT,33r2bh9u5n
NDF,US,other,IT,FR,so7szfnd9r
US,NDF,other,ES,FR,ahx3blbmh8
US,NDF,other,FR,IT,fc1eab8t0m
NDF,US,other,FR,IT,8e06d089dx
NDF,US,other,IT,FR,q79drx5n26
US,NDF,other,CA,FR,vxsflqupc3
NDF,US,other,IT,FR,vn071tqnvn
US,NDF,other,FR,IT,sh9sqpp60z
NDF,US,other,FR,ES,mpls2jkuf6
NDF,US,other,ES,FR,j1o1z5bhks
NDF,US,other,FR,IT,npqn4bwkh2
US,NDF,other,FR,IT,mv9l5f7ezq
NDF,US,other,FR,IT,72ikfl4kn8
NDF,US,other,FR,IT,hyua0b8no9
NDF,US,other,FR,IT,2xv2kfnnht
NDF,US,other,FR,IT,z68ej6ojoz
NDF,US,other,FR,IT,4zkm1amxio
NDF,US,other,IT,FR,ncojl8dsdj
US,NDF,other,FR,IT,tamxvqdhy7
NDF,US,other,IT,FR,ktowo98lej
NDF,US,other,FR,IT,j2vgql4rk9
NDF,US,other,FR,IT,79ah1hpgl5
US,NDF,other,FR,IT,qq3j6g1uno
US,NDF,other,FR,IT,6vvt94j8qk
NDF,US,other,FR,IT,tpuub8d2s3
NDF,US,other,FR,IT,aa3qmhicui
NDF,US,other,FR,IT,r7okf5hfx8
NDF,US,other,FR,IT,zr9hv9keu7
US,NDF,other,FR,IT,27b6p1id82
NDF,US,other,FR,IT,bz6wyxhcd7
NDF,US,other,FR,IT,e043smmez0
US,NDF,other,FR,IT,bbgkzz7400
NDF,US,other,FR,ES,jdlhs7cz4v
NDF,US,other,FR,IT,s3lefq33yb
NDF,US,other,FR,IT,79vwk4652q
NDF,US,other,FR,IT,1lyute4nlz
US,NDF,other,FR,IT,54fjdml43v
US,NDF,other,FR,IT,edlgxl27zy
US,NDF,other,FR,IT,2dbpt8xcro
NDF,US,other,FR,CA,at3gtxpnm2
NDF,US,other,FR,IT,skdxbo7t9u
NDF,US,other,FR,IT,6smfjp50y4
NDF,US,other,IT,FR,6k947ojqzd
NDF,US,other,FR,GB,boqde0l1jf
NDF,US,other,FR,IT,el4w5ze6zb
US,NDF,other,FR,IT,9w329adayv
NDF,US,other,FR,IT,hcsef6vvo7
NDF,US,other,FR,IT,ej61lfqdix
NDF,US,other,IT,FR,270ah6gm73
US,NDF,other,FR,ES,s1gez3uyc7
NDF,US,other,FR,IT,m8vtrbestb
NDF,US,other,FR,GB,e89t0g25iz
NDF,US,other,FR,IT,ooowpz79w5
US,NDF,other,FR,IT,ne5vygu4v3
NDF,US,other,FR,IT,mqrjwpnsrc
NDF,US,FR,other,ES,np81ub37ct
NDF,US,other,FR,IT,3tywpfx1c4
NDF,US,other,FR,IT,03dhyin1wr
NDF,US,other,FR,IT,dmsd0uxjha
US,NDF,other,FR,IT,sdoiaki5xo
NDF,US,other,FR,IT,ydb4tz5cen
NDF,US,other,FR,IT,jprsr28gul
NDF,US,other,FR,IT,cl55tkd2ea
US,NDF,other,FR,IT,7jwruo69rg
NDF,US,other,FR,GB,xs4hjs4snh
NDF,US,other,FR,IT,e04ctfjeyo
NDF,US,other,FR,IT,5m3hxy3jyt
NDF,US,other,FR,IT,4veczycuxf
US,NDF,other,FR,CA,8dclm10wvc
NDF,US,other,FR,IT,ew4ju0nfah
NDF,US,other,FR,IT,bm7qtpwpbb
NDF,US,other,GB,FR,doyzsrdton
NDF,US,other,FR,IT,ra7sqrec7l
NDF,US,other,FR,IT,sha80h5gi8
NDF,US,other,FR,IT,fb8g871vrs
NDF,US,other,FR,GB,xqo65f4qdy
US,NDF,other,FR,IT,vusaf7hi49
NDF,US,other,FR,IT,h13wkp9dhu
US,NDF,other,FR,IT,qys3vvcpxa
NDF,US,other,FR,IT,bfswmrchea
NDF,US,other,FR,IT,epintqn6h9
US,NDF,other,FR,GB,3b55h5ujlq
US,NDF,other,FR,IT,q7j8hhqlfm
NDF,US,other,FR,IT,ipe0vhxndv
NDF,US,other,FR,IT,cazqrass38
US,NDF,other,FR,IT,oqbkl6ql2u
US,NDF,other,FR,IT,nmwjh0f051
NDF,US,other,FR,IT,raqc5246lj
US,NDF,other,FR,IT,s3zlddsw6d
NDF,US,other,FR,IT,e22y5xtzrn
NDF,US,other,FR,IT,m17jzpa82n
NDF,US,other,FR,IT,0pj95wepy9
NDF,US,other,FR,IT,tn4x7g9cay
US,NDF,other,FR,IT,89zwpthdq4
NDF,US,other,FR,IT,41yhlvwjxm
NDF,US,other,IT,GB,wwiqv3w8xk
NDF,US,other,FR,IT,96iwc0vwzg
NDF,US,other,FR,IT,lf0m3q7p2v
US,NDF,other,FR,GB,dganr1dnkm
US,NDF,other,FR,IT,wwp98pmbrs
NDF,US,other,FR,IT,69bfvjpvry
NDF,US,other,FR,IT,s7muk8j36w
NDF,US,other,FR,IT,84nom9czwp
NDF,US,other,FR,IT,ek6o166rox
NDF,US,other,FR,IT,f5qs8kofox
US,NDF,other,FR,IT,yx1q94k3hg
NDF,US,other,FR,IT,fjghlltz4t
NDF,US,other,FR,ES,iv65cf3hu4
NDF,US,other,FR,GB,k9emoz3js1
NDF,US,other,FR,IT,gsg5z8z6m8
US,NDF,other,FR,IT,ofqmu7culq
US,NDF,other,FR,IT,cdu5wnaqjf
NDF,US,other,FR,IT,tbaxeshhly
NDF,US,other,FR,IT,w2237vcnm7
US,NDF,other,FR,GB,it6j7nd54o
US,NDF,other,FR,IT,wsnfcehv1z
NDF,US,other,FR,IT,l1uns654pn
NDF,US,other,FR,IT,siraqvr6ga
NDF,US,other,FR,IT,qq204n0gaz
US,NDF,other,FR,IT,fqwd8lv1ri
NDF,US,other,FR,IT,tejlnm6f83
US,NDF,other,FR,ES,tturhok68n
NDF,US,other,FR,IT,1vg7nifi1s
NDF,US,other,FR,IT,q2hl300xbn
NDF,US,other,FR,IT,gpcdxqu579
NDF,US,other,FR,IT,3lcuk14hue
US,NDF,other,FR,IT,lcoehb46wn
NDF,US,other,FR,IT,tgtvyez838
US,NDF,other,FR,IT,f9vu7zbntk
NDF,US,other,FR,GB,uk65radk84
NDF,US,other,IT,FR,xqq2ejt8x3
NDF,US,other,FR,IT,45ecu5bz78
NDF,US,other,FR,IT,d89d4m0pdj
NDF,US,other,FR,IT,vc0pe9mblz
NDF,US,other,FR,IT,8sdj75xggv
NDF,US,other,FR,IT,1egrqet1kr
NDF,US,other,FR,IT,o4zz3umfgo
NDF,US,other,GB,FR,54hx16km26
NDF,US,other,IT,FR,gmo85evpy8
NDF,US,other,FR,IT,hg4lfuxyu0
NDF,US,other,FR,IT,nftlgdomus
NDF,US,other,FR,IT,1ygqivjbns
NDF,US,other,ES,FR,dnxb3cx52k
NDF,US,other,FR,IT,h0oarp2fo6
NDF,US,other,FR,IT,oou6lasb8f
NDF,US,other,FR,IT,6cnejeveal
NDF,US,other,FR,IT,9o9z3wg806
US,NDF,other,FR,IT,12ckid3eb0
US,NDF,other,FR,IT,nop2k371ic
NDF,US,other,ES,FR,f7ylz6ls1n
NDF,US,other,FR,IT,4rufc7454l
NDF,US,other,FR,IT,4imj27p6fs
US,NDF,other,FR,ES,k9qeru0qm2
US,NDF,other,FR,IT,4cs3r7ddjk
NDF,US,other,FR,IT,baoquxoi1m
NDF,US,other,IT,FR,w9reqqtm52
NDF,US,other,GB,FR,oxza626gt8
NDF,US,other,FR,IT,1u9rvgdoil
US,NDF,other,FR,IT,pnsxg1dvwc
NDF,US,other,FR,IT,urfadk1m6w
US,NDF,other,FR,IT,e263vmujh1
NDF,US,other,FR,IT,bg0923hjks
NDF,US,other,FR,IT,y4q5x38o8u
US,NDF,other,FR,IT,9ggz13b8t6
US,NDF,other,FR,ES,4abitg6r3f
NDF,US,other,FR,IT,cm7svip2m7
US,NDF,other,FR,IT,6se2v5qy6s
NDF,US,other,FR,IT,s781ycpax3
NDF,US,other,FR,ES,jl44r564wq
NDF,US,other,FR,IT,n6ol4as9g0
US,NDF,other,FR,ES,8sgw9du22v
US,NDF,other,FR,GB,xx8qi3uk6j
NDF,US,other,FR,IT,qio5hymru4
NDF,US,other,FR,IT,o0e86z6ufg
NDF,US,other,FR,IT,5x16xzuuxe
US,NDF,other,FR,IT,zevyeoqn1f
NDF,US,other,FR,IT,o1xslpm0ck
NDF,US,other,FR,IT,6oftot1g87
NDF,US,other,FR,IT,uvgqiech5j
NDF,US,other,FR,IT,jx0hquulib
NDF,US,other,FR,IT,cmu56g3hyt
NDF,US,other,FR,IT,l3tgd9cyka
NDF,US,other,FR,GB,qrzy3bnbf7
NDF,US,other,FR,IT,stk6ymubrh
NDF,US,other,ES,FR,ihvzvev4ub
NDF,US,other,FR,IT,8rhe2prelp
NDF,US,other,FR,CA,kt8xue7tre
NDF,US,other,FR,IT,vng1p5gj9g
NDF,US,other,FR,IT,zk24e7nkz2
NDF,US,other,FR,IT,slrt504ity
NDF,US,other,FR,GB,zbapm2qy14
US,NDF,other,FR,IT,gvx06j4hc9
US,NDF,other,FR,IT,fig35o83od
NDF,US,other,FR,GB,4x4qnowfko
NDF,US,other,FR,GB,f4017ygenm
NDF,US,other,FR,IT,3tnareoidb
US,NDF,other,FR,IT,3hs4tkz1hl
NDF,US,other,FR,IT,x9sll6i53k
NDF,US,other,FR,IT,v4jk2qlgdk
NDF,US,other,FR,IT,x592cm13ep
NDF,US,other,FR,IT,04sgzsm546
US,NDF,other,FR,IT,c3g400vruq
NDF,US,other,FR,IT,9x0l3f8nij
US,NDF,other,FR,IT,ckk27300dv
NDF,US,other,IT,ES,sec6x996jc
US,NDF,other,FR,IT,ybsda9v5kj
NDF,US,other,FR,GB,7yjytlhny8
NDF,US,other,ES,IT,m67b80t6j5
US,NDF,other,FR,IT,onp0nbsxlx
NDF,US,other,FR,IT,ja64yyt2bg
NDF,US,other,FR,IT,eiqjcdwk2c
NDF,US,other,FR,IT,xxexu8a85l
NDF,US,other,IT,FR,r9x2oonzg8
NDF,US,other,FR,IT,d0sjsqph22
NDF,US,other,FR,IT,rdylgbns6h
NDF,US,other,FR,IT,694r5b6ill
NDF,US,other,FR,IT,a4vqj7b4qu
NDF,US,other,FR,IT,wbnbqq2acb
NDF,US,other,FR,IT,lqhgro3a82
NDF,US,other,FR,IT,xdomibfq3a
US,NDF,other,FR,IT,qn7es6fxh9
NDF,US,other,FR,IT,rxv0vjbkx3
NDF,US,other,FR,IT,ypwf637ntv
NDF,US,other,FR,IT,k3b06hqefu
US,NDF,other,FR,IT,109tivn9fy
US,NDF,other,FR,IT,l84l5298if
US,NDF,other,FR,IT,65fsz1xbyt
NDF,US,other,FR,IT,rppwmzefwu
NDF,US,other,FR,IT,swkqselipg
